File accession	File format	Output type	Assay term name	Dataset accession	Annotation type	Software used	Encyclopedia Version	Biosample term id	Biosample term name	Biosample type	Life stage	Age	Age units	Organism	Targets	Dataset date released	Project	Lab	md5sum	dbxrefs	File download URL	Assembly	Controlled by	File Status	Derived from	S3 URL	Azure URL	Size	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF841KWY	bed bed9+	candidate Cis-Regulatory Elements		ENCSR368VZW	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	bbcc84502253f31936e8ea98e028de59		https://www.encodeproject.org/files/ENCFF841KWY/@@download/ENCFF841KWY.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/09/19/ebb53a9a-83e2-4adf-8931-be1c758209b5/ENCFF841KWY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/19/ebb53a9a-83e2-4adf-8931-be1c758209b5/ENCFF841KWY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15118026			
ENCFF669TTI	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR368VZW	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	02b2b5539e2fc981ae2eee713ac62db3		https://www.encodeproject.org/files/ENCFF669TTI/@@download/ENCFF669TTI.bigBed	GRCh38		released	/files/ENCFF841KWY/	https://encode-public.s3.amazonaws.com/2021/09/19/33e2ff8d-beb3-4adf-9021-2afc91b3de3b/ENCFF669TTI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/09/19/33e2ff8d-beb3-4adf-9021-2afc91b3de3b/ENCFF669TTI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27620474			
ENCFF257QEB	bed bed9+	candidate Cis-Regulatory Elements		ENCSR373KEK	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	988ef9ec1939db9b1cb4091f34539c14		https://www.encodeproject.org/files/ENCFF257QEB/@@download/ENCFF257QEB.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/35308eed-e687-46d8-a487-0d024ca2d6ea/ENCFF257QEB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/35308eed-e687-46d8-a487-0d024ca2d6ea/ENCFF257QEB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15092140			
ENCFF312SCY	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR373KEK	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	b5baa0de913c54d8e3eafe2e4c864826		https://www.encodeproject.org/files/ENCFF312SCY/@@download/ENCFF312SCY.bigBed	GRCh38		released	/files/ENCFF257QEB/	https://encode-public.s3.amazonaws.com/2021/10/25/e3de266f-810e-40ea-afd3-4c89e6b4de87/ENCFF312SCY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/e3de266f-810e-40ea-afd3-4c89e6b4de87/ENCFF312SCY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27613763			
ENCFF516ZJM	bed bed9+	candidate Cis-Regulatory Elements		ENCSR102HGJ	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	4362b328a7fd13bb09c19bdc20c7b939		https://www.encodeproject.org/files/ENCFF516ZJM/@@download/ENCFF516ZJM.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/88cdf56d-f94d-4618-9ab1-7f734540da57/ENCFF516ZJM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/88cdf56d-f94d-4618-9ab1-7f734540da57/ENCFF516ZJM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	14988338			
ENCFF244IEB	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR102HGJ	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0001159	sigmoid colon	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	e67f41bbd34e118b9fd45b72010cac94		https://www.encodeproject.org/files/ENCFF244IEB/@@download/ENCFF244IEB.bigBed	GRCh38		released	/files/ENCFF516ZJM/	https://encode-public.s3.amazonaws.com/2021/10/25/fe379b76-4126-4c3b-b2d6-eb5e04d16a41/ENCFF244IEB.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/fe379b76-4126-4c3b-b2d6-eb5e04d16a41/ENCFF244IEB.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27541487			
ENCFF281JFE	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR229WYJ	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	94cb02b2113d76c8e59db1f7fe7252a7		https://www.encodeproject.org/files/ENCFF281JFE/@@download/ENCFF281JFE.bigBed	GRCh38		released	/files/ENCFF572DWG/	https://encode-public.s3.amazonaws.com/2021/10/25/f99d92ac-347f-4fff-96f2-6d0c8e3795fc/ENCFF281JFE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/f99d92ac-347f-4fff-96f2-6d0c8e3795fc/ENCFF281JFE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	27614012			
ENCFF572DWG	bed bed9+	candidate Cis-Regulatory Elements		ENCSR229WYJ	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000059	large intestine	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	3a5cb30b11e95afd57ed957c60c2c629		https://www.encodeproject.org/files/ENCFF572DWG/@@download/ENCFF572DWG.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/10/25/7f6a8142-5d9c-4ef2-a147-1e9f98259436/ENCFF572DWG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/10/25/7f6a8142-5d9c-4ef2-a147-1e9f98259436/ENCFF572DWG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15099391			
ENCFF475ITB	bed bed9+	candidate Cis-Regulatory Elements		ENCSR834AVK	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000317	colonic mucosa	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	9095a8f8c522f9cfd96a1a72be1ee7df		https://www.encodeproject.org/files/ENCFF475ITB/@@download/ENCFF475ITB.bed.gz	GRCh38		released	/files/ENCFF413OTQ/	https://encode-public.s3.amazonaws.com/2021/09/20/edbf0205-d6b8-46e2-8f7c-4c8fa6c6b8d8/ENCFF475ITB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/edbf0205-d6b8-46e2-8f7c-4c8fa6c6b8d8/ENCFF475ITB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	15161507			
ENCFF946AMW	bigBed bed9+	candidate Cis-Regulatory Elements		ENCSR834AVK	candidate Cis-Regulatory Elements		current, ENCODE v3	UBERON:0000317	colonic mucosa	tissue				Homo sapiens		2022-02-15	ENCODE	Zhiping Weng, UMass	1563d614486c15a9876962d0b32c01aa		https://www.encodeproject.org/files/ENCFF946AMW/@@download/ENCFF946AMW.bigBed	GRCh38		released	/files/ENCFF475ITB/	https://encode-public.s3.amazonaws.com/2021/09/20/4b2a0ace-e0fe-4a29-8eb1-875a20151b97/ENCFF946AMW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/09/20/4b2a0ace-e0fe-4a29-8eb1-875a20151b97/ENCFF946AMW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	35987264			
